reservation_id,hotel_id,guest_ref,nationality_iso2,adults,children,rooms,nights,room_nights,arrival_date,departure_date,status,rate_code
RES-2026Q1-00039,MZN-DXB-001,g_1cbf4c85ff6a3c1d,US,3,0,1,6,6,2025-12-27,2026-01-02,CHECKED_OUT,OTA
RES-2026Q1-00040,MZN-DXB-001,g_6125e1667a448a1f,PK,2,1,1,5,5,2025-12-28,2026-01-02,CHECKED_OUT,BAR
RES-2026Q1-00041,MZN-DXB-001,g_a13c72dd19b7b3ed,KZ,2,0,1,9,9,2025-12-28,2026-01-06,CHECKED_OUT,BAR
RES-2026Q1-00042,MZN-DXB-001,g_d5466efed1565f45,RU,2,0,1,4,4,2025-12-29,2026-01-02,CHECKED_OUT,OTA
RES-2026Q1-00043,MZN-DXB-001,g_ca9991c73828df39,SA,2,0,1,7,7,2025-12-29,2026-01-05,CHECKED_OUT,CORP
RES-2026Q1-00044,MZN-DXB-001,g_88f12075adb5cf07,IN,1,0,1,3,3,2025-12-30,2026-01-02,CHECKED_OUT,OTA
RES-2026Q1-00045,MZN-DXB-001,g_1aa10e6744d210c5,RU,1,0,3,6,18,2025-12-30,2026-01-05,CHECKED_OUT,CORP
RES-2026Q1-00046,MZN-DXB-001,g_3c0b8a7d2b4f248a,RU,2,1,1,12,12,2025-12-30,2026-01-11,CHECKED_OUT,OTA
RES-2026Q1-00047,MZN-DXB-001,g_150ba69ae6689ae6,RU,1,1,1,2,2,2025-12-31,2026-01-02,CHECKED_OUT,CORP
RES-2026Q1-00048,MZN-DXB-001,g_4dba2a51685e1b26,RU,1,0,3,4,12,2025-12-31,2026-01-04,CHECKED_OUT,CORP
RES-2026Q1-00049,MZN-DXB-001,g_57222d7340b96529,IN,1,0,1,8,8,2025-12-31,2026-01-08,CHECKED_OUT,GROUP
RES-2026Q1-00050,MZN-DXB-001,g_1e0aa1dbd3c6bce6,IN,1,0,1,15,15,2025-12-31,2026-01-15,CHECKED_OUT,COMP
RES-2026Q1-00133,MZN-DXB-001,g_aa8536157e277f5c,IN,1,3,2,3,6,2026-01-01,2026-01-04,CHECKED_OUT,HOUSE
RES-2026Q1-00189,MZN-DXB-001,g_93de470b050d585b,GB,3,0,1,9,9,2026-01-01,2026-01-10,CHECKED_OUT,HOUSE
RES-2026Q1-00336,MZN-DXB-001,g_7f77a8a10a4394e2,IN,2,0,1,1,1,2026-01-01,2026-01-02,CHECKED_OUT,GOV
RES-2026Q1-00524,MZN-DXB-001,g_85df2d0b8ae9f29a,IT,1,0,1,4,4,2026-01-01,2026-01-05,CHECKED_OUT,GOV
RES-2026Q1-00654,MZN-DXB-001,g_5834371fb395e7a8,US,2,0,2,4,8,2026-01-01,2026-01-05,CHECKED_OUT,BAR
RES-2026Q1-01065,MZN-DXB-001,g_efc7750e866e60bd,IN,2,0,1,4,4,2026-01-01,2026-01-05,CHECKED_OUT,GOV
RES-2026Q1-00075,MZN-DXB-001,g_ec777b97b67c0edf,RU,2,2,1,0,0,2026-01-02,2026-01-02,CHECKED_OUT,BAR
RES-2026Q1-00140,MZN-DXB-001,g_c7792b3c6c217e80,SA,1,0,1,5,5,2026-01-02,2026-01-07,CHECKED_OUT,OTA
RES-2026Q1-00145,MZN-DXB-001,g_8db92c258fa3264a,FR,2,2,1,3,3,2026-01-02,2026-01-05,CHECKED_OUT,OTA
RES-2026Q1-00150,MZN-DXB-001,g_414b4e10024f4862,CH,1,3,1,12,12,2026-01-02,2026-01-14,CHECKED_OUT,OTA
RES-2026Q1-00254,MZN-DXB-001,g_710bb656577d7ee7,EG,3,0,1,1,1,2026-01-02,2026-01-03,CHECKED_OUT,GOV
RES-2026Q1-00368,MZN-DXB-001,g_cbecf942781d0487,CN,1,1,3,3,9,2026-01-02,2026-01-05,CHECKED_OUT,HOUSE
RES-2026Q1-00404,MZN-DXB-001,g_bbce94693ffb77e3,GB,1,0,1,18,18,2026-01-02,2026-01-20,CHECKED_OUT,BAR
RES-2026Q1-00442,MZN-DXB-001,g_c6361e6b948d3d15,JP,2,0,1,1,1,2026-01-02,2026-01-03,CHECKED_OUT,OTA
RES-2026Q1-00796,MZN-DXB-001,g_b45b47998cd1b01f,RU,1,0,1,3,3,2026-01-02,2026-01-05,CHECKED_OUT,OTA
RES-2026Q1-00801,MZN-DXB-001,g_4a7c1cc7158ee939,DE,1,0,1,1,1,2026-01-02,2026-01-03,CANCELLED,OTA
RES-2026Q1-00851,MZN-DXB-001,g_1b40e23242af12ee,KZ,2,0,1,7,7,2026-01-02,2026-01-09,CHECKED_OUT,OTA
RES-2026Q1-00904,MZN-DXB-001,g_024342809b2218ba,IN,1,2,1,3,3,2026-01-02,2026-01-05,CHECKED_OUT,OTA
RES-2026Q1-01063,MZN-DXB-001,g_68709a2b61856e03,SA,3,0,1,5,5,2026-01-02,2026-01-07,CANCELLED,BAR
RES-2026Q1-01161,MZN-DXB-001,g_686307f056c707bf,SA,2,3,1,3,3,2026-01-02,2026-01-05,CANCELLED,BAR
RES-2026Q1-00166,MZN-DXB-001,g_45ec56e0718f5f4a,US,1,0,1,3,3,2026-01-03,2026-01-06,CHECKED_OUT,BAR
RES-2026Q1-00245,MZN-DXB-001,g_7e85d7a790b9b46a,DE,2,0,1,12,12,2026-01-03,2026-01-15,CANCELLED,BAR
RES-2026Q1-00331,MZN-DXB-001,g_a800190849512d80,KR,2,1,1,1,1,2026-01-03,2026-01-04,CHECKED_OUT,BAR
RES-2026Q1-00350,MZN-DXB-001,g_349d969bf26b11e7,PK,2,0,1,3,3,2026-01-03,2026-01-06,CHECKED_OUT,CORP
RES-2026Q1-00579,MZN-DXB-001,g_8d0a1af94a7fdbd0,CZ,1,0,1,2,2,2026-01-03,2026-01-05,CHECKED_OUT,BAR
RES-2026Q1-00769,MZN-DXB-001,g_075196f969fe42f1,JP,2,0,1,5,5,2026-01-03,2026-01-08,CHECKED_OUT,GOV
RES-2026Q1-01197,MZN-DXB-001,g_c4aaa643a1017560,IN,3,0,1,1,1,2026-01-03,2026-01-04,CHECKED_OUT,GOV
RES-2026Q1-00343,MZN-DXB-001,g_0220f3b7fcd5ca28,FR,2,3,1,7,7,2026-01-04,2026-01-11,CHECKED_OUT,HOUSE
RES-2026Q1-00503,MZN-DXB-001,g_1a3cb88bf013678f,JP,1,0,2,9,18,2026-01-04,2026-01-13,CHECKED_OUT,BAR
RES-2026Q1-00575,MZN-DXB-001,g_0f6817ff3bfcad4d,KZ,1,2,1,2,2,2026-01-04,2026-01-06,CHECKED_OUT,COMP
RES-2026Q1-00629,MZN-DXB-001,g_4d4eb8668b49eee8,PL,3,2,2,2,4,2026-01-04,2026-01-06,CANCELLED,OTA
RES-2026Q1-00789,MZN-DXB-001,g_e99b1c7bdf975919,FR,2,1,1,7,7,2026-01-04,2026-01-11,NO_SHOW,BAR
RES-2026Q1-00838,MZN-DXB-001,g_424dc367f85b1dc5,US,1,0,1,1,1,2026-01-04,2026-01-05,CHECKED_OUT,BAR
RES-2026Q1-00864,MZN-DXB-001,g_cce789205cf56959,EG,2,0,1,2,2,2026-01-04,2026-01-06,CHECKED_OUT,BAR
RES-2026Q1-01046,MZN-DXB-001,g_d19a9dddb7d08441,IN,1,0,1,1,1,2026-01-04,2026-01-05,NO_SHOW,BAR
RES-2026Q1-01067,MZN-DXB-001,g_d47b8f6f102e3d1a,SA,3,0,1,3,3,2026-01-04,2026-01-07,CHECKED_OUT,BAR
RES-2026Q1-01104,MZN-DXB-001,g_44886e369f1506d4,GB,2,0,1,7,7,2026-01-04,2026-01-11,CHECKED_OUT,BAR
RES-2026Q1-01144,MZN-DXB-001,g_435ea8a4790697d4,RU,2,0,1,2,2,2026-01-04,2026-01-06,CHECKED_OUT,OTA
RES-2026Q1-00228,MZN-DXB-001,g_05284f4fb68efc8b,SA,2,0,2,1,2,2026-01-05,2026-01-06,CHECKED_OUT,CORP
RES-2026Q1-00380,MZN-DXB-001,g_8b4af23e974bad95,JP,1,1,1,4,4,2026-01-05,2026-01-09,CHECKED_OUT,BAR
RES-2026Q1-00424,MZN-DXB-001,g_d322978e288608b8,DE,2,0,1,4,4,2026-01-05,2026-01-09,CHECKED_OUT,OTA
RES-2026Q1-00460,MZN-DXB-001,g_13a35d9d84ff3abe,IN,1,0,1,4,4,2026-01-05,2026-01-09,CHECKED_OUT,BAR
RES-2026Q1-00517,MZN-DXB-001,g_e5a802fb62b62c59,PK,2,0,1,1,1,2026-01-05,2026-01-06,CHECKED_OUT,GOV
RES-2026Q1-00519,MZN-DXB-001,g_2b2ef5e698397521,GB,2,0,1,10,10,2026-01-05,2026-01-15,CHECKED_OUT,COMP
RES-2026Q1-00727,MZN-DXB-001,g_1e67f78f1b831500,US,2,0,1,3,3,2026-01-05,2026-01-08,NO_SHOW,BAR
RES-2026Q1-00857,MZN-DXB-001,g_af6a65a99659fcea,FR,1,0,1,4,4,2026-01-05,2026-01-09,CHECKED_OUT,GROUP
RES-2026Q1-01043,MZN-DXB-001,g_160b374428a5799e,IT,1,0,1,3,3,2026-01-05,2026-01-08,CHECKED_OUT,BAR
RES-2026Q1-01050,MZN-DXB-001,g_2799e538edc57283,CN,2,2,1,1,1,2026-01-05,2026-01-06,CHECKED_OUT,OTA
RES-2026Q1-01121,MZN-DXB-001,g_ea303645698c05b0,DE,2,0,1,12,12,2026-01-05,2026-01-17,CHECKED_OUT,GOV
RES-2026Q1-01181,MZN-DXB-001,g_cf502326b8e60ba5,PL,1,0,2,5,10,2026-01-05,2026-01-10,CHECKED_OUT,OTA
RES-2026Q1-00115,MZN-DXB-001,g_9a01e23455698f92,CZ,3,2,1,1,1,2026-01-06,2026-01-07,CHECKED_OUT,HOUSE
RES-2026Q1-00119,MZN-DXB-001,g_660316b9f0a02235,SA,2,0,1,2,2,2026-01-06,2026-01-08,CHECKED_OUT,HOUSE
RES-2026Q1-00128,MZN-DXB-001,g_9f7c7c1f0843be45,CN,2,0,1,4,4,2026-01-06,2026-01-10,CHECKED_OUT,HOUSE
